"subject"	"activity"	"variable"	"average"
"1"	1	"laying"	"timebodyaccmeanaxisx"	0.274347260646063
"2"	1	"laying"	"timebodyaccmeanaxisy"	-0.0177434918458972
"3"	1	"laying"	"timebodyaccmeanaxisz"	-0.108925032737064
"4"	1	"laying"	"timebodyaccstdaxisx"	-0.607783818968688
"5"	1	"laying"	"timebodyaccstdaxisy"	-0.510191378479501
"6"	1	"laying"	"timebodyaccstdaxisz"	-0.61306429934125
"7"	1	"laying"	"timegravityaccmeanaxisx"	0.669226222373046
"8"	1	"laying"	"timegravityaccmeanaxisy"	0.00403879092060517
"9"	1	"laying"	"timegravityaccmeanaxisz"	0.0921508600211059
"10"	1	"laying"	"timegravityaccstdaxisx"	-0.965207115039421
"11"	1	"laying"	"timegravityaccstdaxisy"	-0.95440802665318
"12"	1	"laying"	"timegravityaccstdaxisz"	-0.938900969424022
"13"	1	"laying"	"timebodyaccjerkmeanaxisx"	0.0789381220355816
"14"	1	"laying"	"timebodyaccjerkmeanaxisy"	0.0079481069090025
"15"	1	"laying"	"timebodyaccjerkmeanaxisz"	-0.00467469823628666
"16"	1	"laying"	"timebodyaccjerkstdaxisx"	-0.63978102073413
"17"	1	"laying"	"timebodyaccjerkstdaxisy"	-0.607971599340832
"18"	1	"laying"	"timebodyaccjerkstdaxisz"	-0.762820240449202
"19"	1	"laying"	"timebodygyromeanaxisx"	-0.0309824871713436
"20"	1	"laying"	"timebodygyromeanaxisy"	-0.0747194855994359
"21"	1	"laying"	"timebodygyromeanaxisz"	0.088357304227173
"22"	1	"laying"	"timebodygyrostdaxisx"	-0.721192598029789
"23"	1	"laying"	"timebodygyrostdaxisy"	-0.682653506899942
"24"	1	"laying"	"timebodygyrostdaxisz"	-0.653665674372188
"25"	1	"laying"	"timebodygyrojerkmeanaxisx"	-0.0967092754729682
"26"	1	"laying"	"timebodygyrojerkmeanaxisy"	-0.0423181079782632
"27"	1	"laying"	"timebodygyrojerkmeanaxisz"	-0.0548303497968374
"28"	1	"laying"	"timebodygyrojerkstdaxisx"	-0.731348533131935
"29"	1	"laying"	"timebodygyrojerkstdaxisy"	-0.786062320321895
"30"	1	"laying"	"timebodygyrojerkstdaxisz"	-0.739932395222129
"31"	1	"laying"	"timebodyaccmagmean"	-0.54822165976717
"32"	1	"laying"	"timebodyaccmagstd"	-0.591225327146546
"33"	1	"laying"	"timegravityaccmagmean"	-0.54822165976717
"34"	1	"laying"	"timegravityaccmagstd"	-0.591225327146546
"35"	1	"laying"	"timebodyaccjerkmagmean"	-0.649417950650692
"36"	1	"laying"	"timebodyaccjerkmagstd"	-0.627762945785391
"37"	1	"laying"	"timebodygyromagmean"	-0.60524856977632
"38"	1	"laying"	"timebodygyromagstd"	-0.662533062898382
"39"	1	"laying"	"timebodygyrojerkmagmean"	-0.762137610987416
"40"	1	"laying"	"timebodygyrojerkmagstd"	-0.77799317279698
"41"	1	"laying"	"frequencybodyaccmeanaxisx"	-0.622761658493734
"42"	1	"laying"	"frequencybodyaccmeanaxisy"	-0.53749328145871
"43"	1	"laying"	"frequencybodyaccmeanaxisz"	-0.665033506271952
"44"	1	"laying"	"frequencybodyaccstdaxisx"	-0.603356276555826
"45"	1	"laying"	"frequencybodyaccstdaxisy"	-0.528420009576204
"46"	1	"laying"	"frequencybodyaccstdaxisz"	-0.617874813333395
"47"	1	"laying"	"frequencybodyaccmeanfreqaxisx"	-0.2214691368263
"48"	1	"laying"	"frequencybodyaccmeanfreqaxisy"	0.015400588735675
"49"	1	"laying"	"frequencybodyaccmeanfreqaxisz"	0.0473098698476722
"50"	1	"laying"	"frequencybodyaccjerkmeanaxisx"	-0.656713524546605
"51"	1	"laying"	"frequencybodyaccjerkmeanaxisy"	-0.628961179980356
"52"	1	"laying"	"frequencybodyaccjerkmeanaxisz"	-0.743608246170053
"53"	1	"laying"	"frequencybodyaccjerkstdaxisx"	-0.654979816705833
"54"	1	"laying"	"frequencybodyaccjerkstdaxisy"	-0.612243590244114
"55"	1	"laying"	"frequencybodyaccjerkstdaxisz"	-0.780928428167213
"56"	1	"laying"	"frequencybodyaccjerkmeanfreqaxisx"	-0.0477062917542325
"57"	1	"laying"	"frequencybodyaccjerkmeanfreqaxisy"	-0.213392904926883
"58"	1	"laying"	"frequencybodyaccjerkmeanfreqaxisz"	-0.123828014584147
"59"	1	"laying"	"frequencybodygyromeanaxisx"	-0.672094306818974
"60"	1	"laying"	"frequencybodygyromeanaxisy"	-0.70621663959074
"61"	1	"laying"	"frequencybodygyromeanaxisz"	-0.644192752866115
"62"	1	"laying"	"frequencybodygyrostdaxisx"	-0.738594816501343
"63"	1	"laying"	"frequencybodygyrostdaxisy"	-0.674226934551517
"64"	1	"laying"	"frequencybodygyrostdaxisz"	-0.690446312501126
"65"	1	"laying"	"frequencybodygyromeanfreqaxisx"	-0.101042702224631
"66"	1	"laying"	"frequencybodygyromeanfreqaxisy"	-0.174277577553958
"67"	1	"laying"	"frequencybodygyromeanfreqaxisz"	-0.0513928953203266
"68"	1	"laying"	"frequencybodyaccmagmean"	-0.585962696268539
"69"	1	"laying"	"frequencybodyaccmagstd"	-0.659531216655476
"70"	1	"laying"	"frequencybodyaccmagmeanfreq"	0.0768760112631957
"71"	1	"laying"	"frequencybodybodyaccjerkmagmean"	-0.620789916331592
"72"	1	"laying"	"frequencybodybodyaccjerkmagstd"	-0.640076803144351
"73"	1	"laying"	"frequencybodybodyaccjerkmagmeanfreq"	0.173219742700723
"74"	1	"laying"	"frequencybodybodygyromagmean"	-0.697411069729937
"75"	1	"laying"	"frequencybodybodygyromagstd"	-0.699976372277643
"76"	1	"laying"	"frequencybodybodygyromagmeanfreq"	-0.0415636227771787
"77"	1	"laying"	"frequencybodybodygyrojerkmagmean"	-0.779767633083527
"78"	1	"laying"	"frequencybodybodygyrojerkmagstd"	-0.792190209274884
"79"	1	"laying"	"frequencybodybodygyrojerkmagmeanfreq"	0.126707820497791
"80"	1	"laying"	"anglebetweentbodyaccmeanandgravity"	0.00770513730366637
"81"	1	"laying"	"anglebetweentbodyaccjerkmeanandgravitymean"	0.00264770963963395
"82"	1	"laying"	"anglebetweentbodygyromeanandgravitymean"	0.0176831301958708
"83"	1	"laying"	"anglebetweentbodygyrojerkmeanandgravitymean"	-0.00921912899702262
"84"	1	"laying"	"anglebetweenxandgravitymean"	-0.496522166185746
"85"	1	"laying"	"anglebetweenyandgravitymean"	0.0632551738495058
"86"	1	"laying"	"anglebetweenzandgravitymean"	-0.0542842821505305
"87"	1	"sitting"	"timebodyaccmeanaxisx"	0.274347260646063
"88"	1	"sitting"	"timebodyaccmeanaxisy"	-0.0177434918458972
"89"	1	"sitting"	"timebodyaccmeanaxisz"	-0.108925032737064
"90"	1	"sitting"	"timebodyaccstdaxisx"	-0.607783818968688
"91"	1	"sitting"	"timebodyaccstdaxisy"	-0.510191378479501
"92"	1	"sitting"	"timebodyaccstdaxisz"	-0.61306429934125
"93"	1	"sitting"	"timegravityaccmeanaxisx"	0.669226222373046
"94"	1	"sitting"	"timegravityaccmeanaxisy"	0.00403879092060517
"95"	1	"sitting"	"timegravityaccmeanaxisz"	0.0921508600211059
"96"	1	"sitting"	"timegravityaccstdaxisx"	-0.965207115039421
"97"	1	"sitting"	"timegravityaccstdaxisy"	-0.95440802665318
"98"	1	"sitting"	"timegravityaccstdaxisz"	-0.938900969424022
"99"	1	"sitting"	"timebodyaccjerkmeanaxisx"	0.0789381220355816
"100"	1	"sitting"	"timebodyaccjerkmeanaxisy"	0.0079481069090025
"101"	1	"sitting"	"timebodyaccjerkmeanaxisz"	-0.00467469823628666
"102"	1	"sitting"	"timebodyaccjerkstdaxisx"	-0.63978102073413
"103"	1	"sitting"	"timebodyaccjerkstdaxisy"	-0.607971599340832
"104"	1	"sitting"	"timebodyaccjerkstdaxisz"	-0.762820240449202
"105"	1	"sitting"	"timebodygyromeanaxisx"	-0.0309824871713436
"106"	1	"sitting"	"timebodygyromeanaxisy"	-0.0747194855994359
"107"	1	"sitting"	"timebodygyromeanaxisz"	0.088357304227173
"108"	1	"sitting"	"timebodygyrostdaxisx"	-0.721192598029789
"109"	1	"sitting"	"timebodygyrostdaxisy"	-0.682653506899942
"110"	1	"sitting"	"timebodygyrostdaxisz"	-0.653665674372188
"111"	1	"sitting"	"timebodygyrojerkmeanaxisx"	-0.0967092754729682
"112"	1	"sitting"	"timebodygyrojerkmeanaxisy"	-0.0423181079782632
"113"	1	"sitting"	"timebodygyrojerkmeanaxisz"	-0.0548303497968374
"114"	1	"sitting"	"timebodygyrojerkstdaxisx"	-0.731348533131935
"115"	1	"sitting"	"timebodygyrojerkstdaxisy"	-0.786062320321895
"116"	1	"sitting"	"timebodygyrojerkstdaxisz"	-0.739932395222129
"117"	1	"sitting"	"timebodyaccmagmean"	-0.54822165976717
"118"	1	"sitting"	"timebodyaccmagstd"	-0.591225327146546
"119"	1	"sitting"	"timegravityaccmagmean"	-0.54822165976717
"120"	1	"sitting"	"timegravityaccmagstd"	-0.591225327146546
"121"	1	"sitting"	"timebodyaccjerkmagmean"	-0.649417950650692
"122"	1	"sitting"	"timebodyaccjerkmagstd"	-0.627762945785391
"123"	1	"sitting"	"timebodygyromagmean"	-0.60524856977632
"124"	1	"sitting"	"timebodygyromagstd"	-0.662533062898382
"125"	1	"sitting"	"timebodygyrojerkmagmean"	-0.762137610987416
"126"	1	"sitting"	"timebodygyrojerkmagstd"	-0.77799317279698
"127"	1	"sitting"	"frequencybodyaccmeanaxisx"	-0.622761658493734
"128"	1	"sitting"	"frequencybodyaccmeanaxisy"	-0.53749328145871
"129"	1	"sitting"	"frequencybodyaccmeanaxisz"	-0.665033506271952
"130"	1	"sitting"	"frequencybodyaccstdaxisx"	-0.603356276555826
"131"	1	"sitting"	"frequencybodyaccstdaxisy"	-0.528420009576204
"132"	1	"sitting"	"frequencybodyaccstdaxisz"	-0.617874813333395
"133"	1	"sitting"	"frequencybodyaccmeanfreqaxisx"	-0.2214691368263
"134"	1	"sitting"	"frequencybodyaccmeanfreqaxisy"	0.015400588735675
"135"	1	"sitting"	"frequencybodyaccmeanfreqaxisz"	0.0473098698476722
"136"	1	"sitting"	"frequencybodyaccjerkmeanaxisx"	-0.656713524546605
"137"	1	"sitting"	"frequencybodyaccjerkmeanaxisy"	-0.628961179980356
"138"	1	"sitting"	"frequencybodyaccjerkmeanaxisz"	-0.743608246170053
"139"	1	"sitting"	"frequencybodyaccjerkstdaxisx"	-0.654979816705833
"140"	1	"sitting"	"frequencybodyaccjerkstdaxisy"	-0.612243590244114
"141"	1	"sitting"	"frequencybodyaccjerkstdaxisz"	-0.780928428167213
